doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
1;07.04.2026 08:47:00;35 grad im schatten und ich hab kein eis mitgenommen 🤡;https://imghosting.in/host/wttza2;"Ein junger Mann sitzt auf einer Picknickdecke im Park, neben ihm stehen eine Wasserflasche, Obst und ein Sandwich; lockere Nachmittagsstimmung im Freien.";18;0;2;Leo Berger;berg_leo;Wien - Berlin - citizen of the world.;https://imghosting.in/host/henhqq;459;0;0;;A;1
2;07.04.2026 09:03:00;📍;https://imghosting.in/host/7i48ge;"Ein junger Mann steht entspannt an einer Uferpromenade mit Blick aufs Wasser und eine ferne Hügelkulisse; Reisefoto bei weichem Abendlicht.";24;0;0;Jonas Falk;jonasunterwegs;Nach dem Frühstück beginnt das Leben.;https://imghosting.in/host/9d0fns;397;0;0;;A;2
3;07.04.2026 09:08:00;siedler von catan zerstört freundschaften und ich bereue nichts;https://imghosting.in/host/1l0sqx;"Ein junger Mann sitzt mit Freunden an einem Tisch mit Brettspiel, Karten und Snacks; gemütliche Wohnzimmeratmosphäre am Abend.";12;1;2;David Kern;david_kern;🤷‍♂️ 🎲 🍻;https://imghosting.in/host/bhml31;230;0;0;;A;3
4;07.04.2026 09:25:00;4 folgen am stück war vielleicht ein fehler. oder auch nicht. empfehlungen?;https://imghosting.in/host/njijgm;"Blick aus einer entspannten Sofa-Perspektive in ein Wohnzimmer mit Couchtisch und laufendem Fernseher; ruhige Abendstimmung zuhause.";43;3;2;Max Winter;maxwinterx;"""Frankly, my dear, I don't give a damn"" 📽️";https://imghosting.in/host/z8u027;563;0;0;;A;4
5;07.04.2026 09:31:00;kaffee nr. 3 und der tag hat noch nicht mal richtig angefangen ☕️;https://imghosting.in/host/9b8cy9;"Ein junger Mann arbeitet an einem Laptop an einem hellen Tisch, vor ihm stehen Kaffee, Mokkakanne, Müsli und belegtes Brot; ruhige Morgenstimmung im Homeoffice.";45;0;1;Paul Stein;steinpauli22;Wandern, Häkeln und andere Drogen.;https://imghosting.in/host/1p6yj4;868;0;0;;A;5
6;07.04.2026 09:14:00;endlich wieder ohne jacke raus 🌤;https://imghosting.in/host/6fhdru;"Eine junge Frau sitzt in einem hellen Outfit in einem begrünten Außenbereich, hält einen Strohhut in der Hand und trägt eine Sonnenbrille; entspannte Szene zwischen Pflanzen und Blüten.";50;2;5;Anna Hofer;annareist07;Ich lasse dich ohne Worte.;https://imghosting.in/host/htknqi;611;0;0;;A;6
7;07.04.2026 09:22:00;wenn pizza die antwort ist war die frage egal;https://imghosting.in/host/qfzly5;"Eine junge Frau hält ein großes Pizzastück vor einem auffälligen Pizza-Schriftzug und beißt gleich hinein; spontane, ungezwungene Alltagsszene.";14;0;3;Lara Weiss;weiss_lara;Study, Play, Repeat.;https://imghosting.in/host/e62v7g;297;0;0;;A;7
8;07.04.2026 09:39:00;produktiver montag (ausnahmsweise);https://imghosting.in/host/kvyj6d;"Eine junge Frau sitzt an einem Schreibtisch in einem warmen Arbeitsraum und schreibt Notizen; neben ihr stehen Laptop, Kaffeebecher und Mikrofon.";22;1;2;Sophie Kern;diesophie;Ich häkle, also ich bin.;https://imghosting.in/host/lq1ri1;532;0;0;;A;8
9;07.04.2026 09:44:00;handy auf lautlos, 40 min spazieren, empfehle ich;https://imghosting.in/host/xo7owh;"Eine junge Frau läuft auf einem schattigen Wald- oder Parkweg, umgeben von Bäumen und trockenem Laub; ruhige Outdoor-Szene in Bewegung.";47;2;5;Nina Eder;ninaeder_privat;Live, laugh, lauf! #Fitnesslife #catchmeifyoucan;https://imghosting.in/host/a227fe;958;0;0;;A;9
10;07.04.2026 09:51:00;back to basics 🎨;https://imghosting.in/host/tv8j4c;"Eine junge Frau mit Sonnenhut malt in einem hellen Atelier an einem Bild mit Segelbooten; in der Hand hält sie Pinsel und Farbpalette.";113;0;5;Klara Moser;klara.moser;farben > worte 🎨;https://imghosting.in/host/4rmgf9;1830;0;0;;A;10
11;07.04.2026 08:47:00;35 grad im schatten und ich hab kein eis mitgenommen 🤡;https://imghosting.in/host/wttza2;"Ein junger Mann sitzt auf einer Picknickdecke im Park, neben ihm stehen eine Wasserflasche, Obst und ein Sandwich; lockere Nachmittagsstimmung im Freien.";18;0;2;Leo Berger;berg_leo;Wien - Berlin - citizen of the world.;https://imghosting.in/host/henhqq;459;0;0;;B;1
12;07.04.2026 09:03:00;📍;https://imghosting.in/host/7i48ge;"Ein junger Mann steht entspannt an einer Uferpromenade mit Blick aufs Wasser und eine ferne Hügelkulisse; Reisefoto bei weichem Abendlicht.";24;0;0;Jonas Falk;jonasunterwegs;Nach dem Frühstück beginnt das Leben.;https://imghosting.in/host/9d0fns;397;0;0;;B;2
13;07.04.2026 09:08:00;siedler von catan zerstört freundschaften und ich bereue nichts;https://imghosting.in/host/1l0sqx;"Ein junger Mann sitzt mit Freunden an einem Tisch mit Brettspiel, Karten und Snacks; gemütliche Wohnzimmeratmosphäre am Abend.";12;1;2;David Kern;david_kern;🤷‍♂️ 🎲 🍻;https://imghosting.in/host/bhml31;230;0;0;;B;3
14;07.04.2026 09:25:00;4 folgen am stück war vielleicht ein fehler. oder auch nicht. empfehlungen?;https://imghosting.in/host/njijgm;"Blick aus einer entspannten Sofa-Perspektive in ein Wohnzimmer mit Couchtisch und laufendem Fernseher; ruhige Abendstimmung zuhause.";43;3;2;Max Winter;maxwinterx;"""Frankly, my dear, I don't give a damn"" 📽️";https://imghosting.in/host/z8u027;563;0;0;;B;4
15;07.04.2026 09:31:00;kaffee nr. 3 und der tag hat noch nicht mal richtig angefangen ☕️;https://imghosting.in/host/9b8cy9;"Ein junger Mann arbeitet an einem Laptop an einem hellen Tisch, vor ihm stehen Kaffee, Mokkakanne, Müsli und belegtes Brot; ruhige Morgenstimmung im Homeoffice.";45;0;1;Paul Stein;steinpauli22;Wandern, Häkeln und andere Drogen.;https://imghosting.in/host/1p6yj4;868;0;0;;B;5
16;07.04.2026 09:15:00;die wimpern heute 🫶 manchmal trifft man einfach den perfekten look ✨;https://imghosting.in/host/wc0xy1;"Eine junge Frau trägt vor der Smartphone-Kamera Lippen-Make-up auf; Nahaufnahme mit Beauty-Fokus und betonten Augen.";103;5;16;Mia Rosen;rose_mia;Shining bright like diamonds. Make-up inspo (fast) täglich.;https://imghosting.in/host/htdk12;1458;0;0;;B;6
17;07.04.2026 09:28:00;overdressed für den supermarkt aber underdressed für mein ego 💅;https://imghosting.in/host/lfc49u;"Eine junge Frau posiert in Sonnenbrille, schwarzem Top und weißer Hose vor einer hellen Steinwand; modeorientiertes Outfitfoto im Freien.";139;6;14;Emma Hart;emmaherz;fashion girlie 💗💅;https://imghosting.in/host/h5okuf;1769;0;0;;B;7
18;07.04.2026 09:36:00;brunch mit der bestie und 3 stunden über nichts und alles geredet 🫶🥐 #girlietings;https://imghosting.in/host/5eo0x5;"Ein ästhetisch angerichteter Brunch-Tisch mit Croissant, Kaffee, Pancakes und einer Bowl; im oberen Bildbereich sind Hände mit Besteck zu sehen.";15;1;2;Lea Blum;lea_blum0405;good vibes only. even on mondays.;https://imghosting.in/host/08up8c;332;0;0;;B;8
19;07.04.2026 09:48:00;pilates zeigt langsam wirkung und ich check mich jetzt 5x am tag im spiegel 😂💗;https://imghosting.in/host/6ygkx4;"Eine junge Frau macht draußen an einem See einen Handstand auf einer Yogamatte; sportlich-ästhetische Szene im Grünen.";39;2;5;Hannah Gold;goldilocks_hannah;Flat White Frappuccino mit Regenbogen Streusel, bitte! 🦄;https://imghosting.in/host/a1tsel;754;0;0;;B;9
20;07.04.2026 09:57:00;er hat mich abgeholt, tür aufgehalten und alles gezahlt 🥹🌹 solche abende bitte öfter;https://imghosting.in/host/hxeziz;"Eine junge Frau sitzt abends in einem Restaurant an einem gedeckten Tisch; warme Beleuchtung und elegante Date-Night-Stimmung.";47;0;4;Sofia Lind;sofialind;Ich nehme meinen Kaffee ernst.;https://imghosting.in/host/exuh5d;540;0;0;;B;10
